date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:58:43	916/916	---M--	200	added ('OK')	application/javascript	etag:%22df41bb4756c5a324f9e3c4d7b7443d6a%22	https://darkrise-astro.vercel.app/_astro/hoisted.BkUBgl77.js	darkrise-astro.vercel.app/_astro/hoisted.BkUBgl77.js	(from https://darkrise-astro.vercel.app/pricing/)
22:58:45	269/269	---M--	200	added ('OK')	image/svg+xml	etag:%229b4e4d8d71816e0bcd000b78da0cfa90%22	https://darkrise-astro.vercel.app/_astro/check.DjlODwvZ_2eYIMg.svg	darkrise-astro.vercel.app/_astro/check.DjlODwvZ_2eYIMg.svg	(from https://darkrise-astro.vercel.app/pricing/)
22:58:47	194/194	---M--	200	added ('OK')	image/svg+xml	etag:%22f0f02f4fe2e4df09ba078984177c9e74%22	https://darkrise-astro.vercel.app/_astro/cross.CIOB9OOO_ZxGDCp.svg	darkrise-astro.vercel.app/_astro/cross.CIOB9OOO_ZxGDCp.svg	(from https://darkrise-astro.vercel.app/pricing/)
22:58:49	38422/38422	---M--	200	added ('OK')	image/webp	etag:%22043ea4437753c6b305141682812ced8c%22	https://darkrise-astro.vercel.app/_astro/call-to-action-2.mmrN57Hg_1mvxYd.webp	darkrise-astro.vercel.app/_astro/call-to-action-2.mmrN57Hg_1mvxYd.webp	(from https://darkrise-astro.vercel.app/integration/)
22:58:50	22598/22598	---MCZ	200	added ('OK')	text/html	etag:W/%221c29e4b6db3c9eb8c1725e0c78ba353c%22	https://darkrise-astro.vercel.app/integration/hubspot/	darkrise-astro.vercel.app/integration/hubspot/index.html	(from https://darkrise-astro.vercel.app/integration/)
22:58:50	22635/22635	---MCZ	200	added ('OK')	text/html	etag:W/%220a063aeabc825bb0d913c2472d264b5f%22	https://darkrise-astro.vercel.app/integration/kickstarter/	darkrise-astro.vercel.app/integration/kickstarter/index.html	(from https://darkrise-astro.vercel.app/integration/)
22:58:50	22602/22602	---MCZ	200	added ('OK')	text/html	etag:W/%2234809c7e704b6ea579dfba6f50c082e4%22	https://darkrise-astro.vercel.app/integration/hubspot-2/	darkrise-astro.vercel.app/integration/hubspot-2/index.html	(from https://darkrise-astro.vercel.app/integration/)
22:58:52	22603/22603	---MCZ	200	added ('OK')	text/html	etag:W/%227a8e91bbdb761568a605b40644135ef3%22	https://darkrise-astro.vercel.app/integration/shopify-2/	darkrise-astro.vercel.app/integration/shopify-2/index.html	(from https://darkrise-astro.vercel.app/integration/)
22:58:52	710/710	---M--	200	added ('OK')	image/webp	etag:%22bca44b3b2a43d4b5331f3018a7489258%22	https://darkrise-astro.vercel.app/_astro/pattern-1.Dww158xO_Z2sma5Y.webp	darkrise-astro.vercel.app/_astro/pattern-1.Dww158xO_Z2sma5Y.webp	(from https://darkrise-astro.vercel.app/integration/)
22:58:53	22601/22601	---MCZ	200	added ('OK')	text/html	etag:W/%22cffcc2e25de099b7d154f62ea8e0cebc%22	https://darkrise-astro.vercel.app/integration/shopify/	darkrise-astro.vercel.app/integration/shopify/index.html	(from https://darkrise-astro.vercel.app/integration/)
22:58:53	22619/22619	---MCZ	200	added ('OK')	text/html	etag:W/%22c802df41319db0c6ae972786805af2ab%22	https://darkrise-astro.vercel.app/integration/mailchimp/	darkrise-astro.vercel.app/integration/mailchimp/index.html	(from https://darkrise-astro.vercel.app/integration/)
22:58:57	1814/1814	---M--	200	added ('OK')	image/webp	etag:%223ff93fb22df301af8a5796e57f0621bf%22	https://darkrise-astro.vercel.app/_astro/gift.CYoN780x_26fNY2.webp	darkrise-astro.vercel.app/_astro/gift.CYoN780x_26fNY2.webp	(from https://darkrise-astro.vercel.app/integration/)
22:58:59	592/592	---M--	200	added ('OK')	image/webp	etag:%2256e8202abc588bc58af4e36b53a78e1a%22	https://darkrise-astro.vercel.app/_astro/pattern-4.BgGtdrhu_Z21HPzL.webp	darkrise-astro.vercel.app/_astro/pattern-4.BgGtdrhu_Z21HPzL.webp	(from https://darkrise-astro.vercel.app/integration/)
22:59:01	676/676	---M--	200	added ('OK')	image/webp	etag:%221cfed8f4b326fd0037e3f8b0d548517b%22	https://darkrise-astro.vercel.app/_astro/pattern-5.S3WxSHlz_YiaQU.webp	darkrise-astro.vercel.app/_astro/pattern-5.S3WxSHlz_YiaQU.webp	(from https://darkrise-astro.vercel.app/integration/)
22:59:03	15758/15758	---M--	200	added ('OK')	image/webp	etag:%22246ff986e18302a049127abb60119cf1%22	https://darkrise-astro.vercel.app/_astro/focus.CO6SfXBo_2152RF.webp	darkrise-astro.vercel.app/_astro/focus.CO6SfXBo_2152RF.webp	(from https://darkrise-astro.vercel.app/integration/)
22:59:05	8370/8370	---M--	200	added ('OK')	image/webp	etag:%222e0c371374d5b4e1c61676798fdce12b%22	https://darkrise-astro.vercel.app/_astro/date-2.IzwjFd4B_Z3yqHN.webp	darkrise-astro.vercel.app/_astro/date-2.IzwjFd4B_Z3yqHN.webp	(from https://darkrise-astro.vercel.app/integration/)
